,date,value,ub,lb,std
124,03/05/2022,27215.123456790123,30030.04950382914,24400.197409751105,2814.9260470390195
125,03/06/2022,26559.53086419753,29318.400163905673,23800.66156448939,2758.8692997081434
126,03/07/2022,25908.96913580247,28609.725994189917,23208.21227741502,2700.756858387451
127,03/08/2022,25264.16049382716,27905.04443222161,22623.27655543271,2640.883938394449
128,03/09/2022,24625.64814814815,27205.200179740743,22046.096116555556,2579.552031592592
129,03/10/2022,23994.08024691358,26511.131730116285,21477.028763710878,2517.0514832027043
130,03/11/2022,23369.74074074074,25823.3559934522,20916.12548802928,2453.61525271146
131,03/12/2022,22753.012345679013,25142.488109263923,20363.536582094104,2389.4757635849096
132,03/13/2022,22144.46913580247,24469.37191717347,19819.566354431467,2324.9027813710018
133,03/14/2022,21544.796296296296,23804.952172860503,19284.640419732088,2260.1558765642094
134,03/15/2022,20954.5987654321,23150.08133396421,18759.116196899988,2195.4825685321102
135,03/16/2022,20374.364197530864,22505.46922687455,18243.259168187178,2131.1050293436865
136,03/17/2022,19804.617283950618,21871.840489418024,17737.394078483212,2067.223205467407
137,03/18/2022,19245.845679012345,21249.880391340987,17241.810966683704,2004.0347123286394
138,03/19/2022,18698.277777777777,20639.98328998939,16756.572265566163,1941.7055122116135
139,03/20/2022,18162.345679012345,20042.73566337844,16281.95569464625,1880.3899843660947
140,03/21/2022,17638.277777777777,19458.504859004515,15818.050696551041,1820.2270812267366
141,03/22/2022,17126.216049382718,18887.54612765882,15364.885971106614,1761.3300782761041
142,03/23/2022,16626.320987654322,18330.122129644562,14922.519845664083,1703.8011419902402
143,03/24/2022,16138.728395061727,17786.455203083373,14491.00158704008,1647.726808021647
144,03/25/2022,15663.469135802468,17256.646953274456,14070.29131833048,1593.1778174719884
145,03/26/2022,15200.462962962964,16740.674013511918,13660.251912414009,1540.2110505489536
146,03/27/2022,14749.808641975309,16238.676196458127,13260.94108749249,1488.8675544828193
147,03/28/2022,14311.32098765432,15750.500812084589,12872.141163224052,1439.179824430269
148,03/29/2022,13884.962962962964,15276.132104675868,12493.79382125006,1391.1691417129036
149,03/30/2022,13470.58024691358,14815.417840252212,12125.742653574947,1344.837593338632
150,03/31/2022,13068.055555555555,14368.244286651714,11767.866824459396,1300.1887310961597
151,04/01/2022,12677.092592592593,13934.300206579073,11419.884978606113,1257.2076139864805
152,04/02/2022,12297.561728395061,13513.440338706807,11081.683118083316,1215.878610311745
153,04/03/2022,11929.296296296296,13105.475760906098,10753.116831686493,1176.179464609802
154,04/04/2022,11571.975308641975,12710.051019154524,10433.899598129427,1138.0757105125479
155,04/05/2022,11225.358024691359,12326.886936769091,10123.829112613626,1101.528912077732
156,04/06/2022,10889.25925925926,11955.763003312599,9822.75551520592,1066.5037440533392
157,04/07/2022,10563.37037037037,11596.317944497496,9530.422796243245,1032.9475741271262
158,04/08/2022,10247.469135802468,11248.284462582953,9246.653809021984,1000.8153267804838
159,04/09/2022,9941.277777777777,10911.335312256208,8971.220243299347,970.0575344784306
160,04/10/2022,9644.530864197532,10585.154466798169,8703.907261596894,940.623602600637
161,04/11/2022,9357.012345679012,10269.460956242072,8444.563735115951,912.4486105630604
162,04/12/2022,9078.425925925925,9963.91293303481,8192.93891881704,885.4870071088845
163,04/13/2022,8808.493827160493,9668.17246956192,7948.815184759067,859.6786424014258
164,04/14/2022,8547.04938271605,9382.017229839255,7712.081535592845,834.9678471232048
165,04/15/2022,8293.722222222223,9105.022721721225,7482.421722723221,811.3004994990016
166,04/16/2022,8048.376543209876,8836.999848868934,7259.753237550817,788.623305659059
167,04/17/2022,7810.679012345679,8577.556975148596,7043.801049542762,766.8779628029176
168,04/18/2022,7580.475308641975,8326.49591189691,6834.454705387041,746.0206032549338
169,04/19/2022,7357.493827160494,8083.489466617617,6631.4981877033715,725.9956394571225
170,04/20/2022,7141.493827160494,7848.243640297871,6434.744014023117,706.749813137377
171,04/21/2022,6932.191358024691,7620.436020245926,6243.946695803456,688.2446622212348
172,04/22/2022,6729.481481481482,7399.915846292447,6059.0471166705165,670.4343648109653
173,04/23/2022,6533.111111111111,7186.383792427938,5879.838429794285,653.272681316826
174,04/24/2022,6342.814814814815,6979.539730975273,5706.089898654356,636.7249161604585
175,04/25/2022,6158.518518518518,6779.266593766798,5537.7704432702385,620.7480752482796
176,04/26/2022,5979.827160493827,6585.133152045105,5374.52116894255,605.3059915512778
177,04/27/2022,5806.734567901234,6397.106441938126,5216.362693864342,590.3718740368922
178,04/28/2022,5638.969135802469,6214.878663739028,5063.059607865911,575.9095279365581
179,04/29/2022,5476.395061728395,6038.285145027179,4914.504978429612,561.8900832987839
180,04/30/2022,5318.814814814815,5867.102352019352,4770.527277610277,548.2875372045378
181,05/01/2022,5166.135802469136,5701.217120507277,4631.054484430995,535.0813180381407
182,05/02/2022,5018.067901234568,5540.312444965798,4495.823357503338,522.2445437312297
183,05/03/2022,4874.555555555556,5384.310376623446,4364.800734487665,509.75482106789036
184,05/04/2022,4735.493827160494,5233.093144541136,4237.894509779852,497.5993173806423
185,05/05/2022,4600.598765432099,5086.357273334784,4114.840257529414,485.75850790268447
186,05/06/2022,4469.851851851852,4944.059819019367,3995.643884684337,474.20796716751494
187,05/07/2022,4343.086419753086,4806.034416757171,3880.138422749001,462.94799700408515
188,05/08/2022,4220.216049382716,4672.169596700572,3768.26250206486,451.9535473178557
189,05/09/2022,4101.074074074074,4542.297314233983,3659.8508339141645,441.2232401599092
190,05/10/2022,3985.537037037037,4416.272077675345,3554.8019963987294,430.7350406383076
191,05/11/2022,3873.456790123457,4293.940239587434,3452.9733406594796,420.48344946397697
192,05/12/2022,3764.8086419753085,4175.27455577199,3354.3427281786276,410.465913796681
193,05/13/2022,3659.4444444444443,4060.107747918133,3258.7811409707556,400.66330347368864
194,05/14/2022,3557.296296296296,3948.3696979641477,3166.2228946284445,391.07340166785144
195,05/15/2022,3458.240740740741,3839.935265851821,3076.5462156296608,381.6945251110799
196,05/16/2022,3362.098765432099,3734.615100682866,2989.582430181332,372.5163352507668
197,05/17/2022,3268.8888888888887,3632.419886606092,2905.3578911716854,363.5309977172031
198,05/18/2022,3178.5123456790125,3533.2490137398727,2823.7756776181523,354.73666806086027
199,05/19/2022,3090.8333333333335,3436.9608175669537,2744.7058490997133,346.1274842336203
200,05/20/2022,3005.759259259259,3343.4592917165096,2668.0592268020087,337.7000324572506
201,05/21/2022,2923.2654320987654,3252.7181691389187,2593.812695058612,329.4527370401534
202,05/22/2022,2843.2098765432097,3164.5918507265383,2521.827902359881,321.38197418332845
203,05/23/2022,2765.641975308642,3079.1220551360875,2452.1618954811966,313.4800798274453
204,05/24/2022,2690.3271604938273,2996.0709992740076,2384.583321713647,305.7438387801804
205,05/25/2022,2617.3518518518517,2915.532446058047,2319.1712576456566,298.18059420619534
206,05/26/2022,2546.5555555555557,2837.3336066118745,2255.777504499237,290.7780510563191
